Title,Date Posted,Employer,Location,Salary,Employment Type,Start Date,Vacancies,Description,Languages,Education,Experience,Responsibilities
food service supervisor,"Posted on January 27, 2024",Government of Canada / Gouvernement du Canada,"Hay River, NT",$16.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Establish methods to meet work schedules. Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Estimate and order ingredients and supplies. Hire food service staff. Ensure food service and quality control. Maintain records of stock, repairs, sales and wastage. Establish work schedules. Experience: 1 year to less than 2 years. Health benefits: Health care plan. Financial benefits: Group insurance benefits. Registered Retirement Savings Plan (RRSP). Other benefits: On-site housing options.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Hire food service staff, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage, Establish work schedules"
food service supervisor,"Posted on December 20, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$19.04 to $21.75HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,4 vacancies,"Education: No degree, certificate or diploma. Work setting: Food service establishment. On-site customer service. Relocation costs covered by employer. Restaurant. Tasks: Establish methods to meet work schedules. Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Estimate and order ingredients and supplies. Hire food service staff. Ensure food service and quality control. Prepare budget and cost estimates. Address customers' complaints or concerns. Maintain records of stock, repairs, sales and wastage. Prepare and submit reports. Establish work schedules. Supervision: Cook (general). Food and beverage servers. Food service counter attendants and food preparers. Kitchen and food service helpers. 16-20 people. Working groups. Staff in various areas of responsibility. Security and safety: Bondable. Work conditions and physical capabilities: Fast-paced environment. Work under pressure. Tight deadlines. Combination of sitting, standing, walking. Standing for extended periods. Bending, crouching, kneeling. Walking. Physically demanding. Personal suitability: Client focus. Efficient interpersonal skills. Excellent oral communication. Flexibility. Team player. Experience: 1 year to less than 2 years. Health benefits: Dental plan. Disability benefits. Health care plan. Vision care benefits. Financial benefits: Gratuities. Group insurance benefits. Life insurance.",English,"No degree, certificate or diploma",1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Hire food service staff, Ensure that food and service meet quality control standards, Prepare budget and cost estimates, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Establish work schedules, Cook (general), Food and beverage servers, Food service counter attendants and food preparers, Kitchen and food service helpers, 16-20 people, Working groups, Staff in various areas of responsibility"
sales representative - retail,"Posted on March 22, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$18.00 to $24.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. or equivalent experience. Work setting: Specialty shop. Relocation costs not covered by employer. In shop. Retail business. Sporting goods store. Sales. Tasks: Operate cash register. Operate computerized inventory record keeping and re-ordering systems. Provide advice about merchandise. Provide customer service. Assist in display of merchandise. Conduct sales transactions through Internet-based electronic commerce. Estimate or quote prices, credit or contract terms, warranties and delivery dates. Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease. Maintain sales records for inventory control. Prepare merchandise for purchase, rental or lease. Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Type of product: Bicycle. Sports equipment and clothing. Product or manufacturing design: Sporting goods and recreational items. Work conditions and physical capabilities: Fast-paced environment. Work under pressure. Attention to detail. Bending, crouching, kneeling. Physically demanding. Repetitive tasks. Standing for extended periods. Weight handling: Up to 23 kg (50 lbs). Personal suitability: Adaptability. Analytical. Collaborative. Creativity. Efficiency. Energetic. Goal-oriented. Hardworking. Integrity. Outgoing. Positive attitude. Proactive. Quick learner. Time management. Dependability. Efficient interpersonal skills. Flexibility. Organized. Reliability. Team player. Excellent oral communication. Accurate. Initiative. Judgement. Ability to multitask. Punctuality. Maturity. Honesty. Screening questions: Are you currently legally able to work in Canada?. Do you currently reside in proximity to the advertised location?. Do you have previous experience in this field of employment?. Do you have the above-indicated required certifications?. Experience: 3 years to less than 5 years.",English,"Secondary (high) school graduation certificate

or equivalent experience",3 years to less than 5 years,"Operate cash register, Operate computerized inventory record keeping and re-ordering systems, Provide advice about merchandise, Provide customer service, Assist in display of merchandise, Conduct sales transactions through Internet-based electronic commerce, Estimate or quote prices, credit or contract terms, warranties and delivery dates, Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease, Maintain sales records for inventory control, Prepare merchandise for purchase, rental or lease, Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment"
food service supervisor,"Posted on February 05, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$18.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,6 vacancies,"Education: No degree, certificate or diploma. Work setting: Staff accommodation available. Fast food outlet or concession. Restaurant. Tasks: Establish methods to meet work schedules. Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Ensure that food and service meet quality control standards. Address customers' complaints or concerns. Maintain records of stock, repairs, sales and wastage. Must have knowledge of the establishment's culinary genres. Supervision: Food service counter attendants and food preparers. Kitchen and food service helpers. Work conditions and physical capabilities: Fast-paced environment. Work under pressure. Combination of sitting, standing, walking. Physically demanding. Experience: 1 year to less than 2 years.",English,"No degree, certificate or diploma",1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Ensure that food and service meet quality control standards, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Must have knowledge of the establishment's culinary genres, Food service counter attendants and food preparers, Kitchen and food service helpers"
hospital cleaner,"Posted on March 12, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$20.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,12 vacancies,"Education: No degree, certificate or diploma. Work setting: Hospital/medical facility or clinic. Tasks: Sweep, mop, wash and polish floors. Make beds and change sheets. Clean, disinfect and polish kitchen and bathroom fixtures and appliances. Disinfect operating rooms and other areas. Clean and disinfect elevators. Handle and report lost and found items. Provide basic information on facilities. Pick up debris and empty trash containers. Clean changing rooms and showers. Experience: Experience an asset. Health benefits: Dental plan. Disability benefits. Health care plan. Vision care benefits. Financial benefits: Life insurance. Registered Retirement Savings Plan (RRSP).",English,"No degree, certificate or diploma",Experience an asset,"Sweep, mop, wash and polish floors, Make beds and change sheets, Clean, disinfect and polish kitchen and bathroom fixtures and appliances, Disinfect operating rooms and other areas, Clean and disinfect elevators, Handle and report lost and found items, Provide basic information on facilities, Pick up debris and empty trash containers, Clean changing rooms and showers"
retail store department head,"Posted on February 23, 2024",Government of Canada / Gouvernement du Canada,"Fort Resolution, NT","$47,500YEAR annually YEAR",Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Supervise staff (apprentices, stages hands, design team, etc.). Hire and train or arrange for training of staff. Establish work schedules. Sell merchandise. Resolve problems that arise, such as customer complaints and supply shortages. Experience: 1 year to less than 2 years. Health benefits: Dental plan. Disability benefits. Health care plan. Financial benefits: Group insurance benefits. Life insurance. Registered Retirement Savings Plan (RRSP). Stocks/shares. Long term benefits: Maternity and parental benefits. Other benefits: Other benefits.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Hire and train or arrange for training of staff, Establish work schedules, Sell merchandise, Resolve issues that may arise, including customer requests, complaints and supply shortages"
cashier,"Posted on March 27, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$17.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: No degree, certificate or diploma. Tasks: Operate cash register. Process money, cheques and credit/debit card payments. Scan items. Receive payment for goods or services. Stock shelves and clean counter area. Greet customers. Wrap or place merchandise in bags. Provide customer service. Experience: Experience an asset.",English,"No degree, certificate or diploma",Experience an asset,"Operate cash register, Process money, cheques and credit/debit card payments, Scan items, Receive payment for goods or services, Stock shelves and clean counter area, Greet customers, Wrap or place merchandise in bags, Provide customer service"
esthetician,"Posted on December 16, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$18.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Body care/treatments. Make custom designs for clients. Provide general information to customers on beauty products. Advise on beauty products suited to customers' colouring and skin type. Designing traditional tattoos. Apply make-up on customers. Eyebrow tinting. Provide scalp treatment. Apply make-up on models. Apply temporary designs to customer's skin, using electric needles and chemical dyes such as Mendhi (henna). Facials. Repair and mask aesthetic defects. Apply glycolic acid treatments. Perform cashiering duties. Provide product demonstrations. Schedule and confirm appointments. Sell establishments products. Relaxation massage. Skin care. Skin peels. Waxing. Refer clients with unusual skin conditions to physicians. Eyebrow threading. Eyelash extensions. Provide customer service. Security and safety: Reference required. Basic security clearance. Work conditions and physical capabilities: Repetitive tasks. Attention to detail. Personal suitability: Accurate. Client focus. Flexibility. Organized. Reliability. Team player. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Body care/treatments, Make custom designs for clients, Provide general information to customers on beauty products, Advise on beauty products suited to customers' colouring and skin type, Designing traditional tattoos, Apply make-up on customers, Eyebrow tinting, Provide scalp treatment, Apply make-up on models, Apply temporary designs to customer's skin, using electric needles and chemical dyes such as Mendhi (henna), Facials, Repair and mask aesthetic defects, Apply glycolic acid treatments, Perform cashiering duties, Provide product demonstrations, Schedule and confirm appointments, Sell establishments products, Relaxation massage, Skin care, Skin peels, Waxing, Refer clients with unusual skin conditions to physicians, Eyebrow threading, Eyelash extensions, Provide customer service"
customer service representative - call centre,"Posted on March 01, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,Full time,Starts as soon as possible,1 vacancy,"*Job Description for: Customer Service Representative *

*General Purpose of the Position: *
The Customer Service Representative is responsible for providing prompt, courteous and efficient service to customers. Your role will be to provide outstanding customer service from initial greeting to the final sale. This will involve accessing customer needs and providing expert advice about available products, creating customer agreements for special order merchandise, and demonstrating features and benefits of any product.

*Tasks and Responsibilities:*
* Assist customers in locating merchandise in store
* Receives customer requests by telephone, analyze requests, provides information requested or determine who can best provide the information and route the request to the proper person
* Ensuring all customers inquiries are dealt with and processed in a timely manner and in accordance within company policy
* Write up orders, price quotations etc, as required
* Maintains the customer service desk and other departments as needed ensuring proper housekeeping
* Putting away stock and keeping stock neat, clean, and orderly
* Attend store meetings, training sessions, etc. as required
* Readily accepts additional responsibilities and duties as assigned

*Requirements:*
* Excellent communication skills
* Friendly and helpful attitude toward customers
* Ability to lift and move at least 50lbs in weight
* The incumbent must be a team player, detail oriented and capable and willing to take direction from management
* Respectful and supportive demeanor towards fellow employees and management
* A proficiency with computers
* Ability to work a flexible schedule including weekends, evenings and holidays
* High School graduation or equivalent
* Willingness to learn
* Prior retail experience beneficial
* Demonstrate consciousness towards matters of health and safety by ensuring all work is done in a safe manner.

Job Type: Full-time

Benefits:
* Dental care
* Extended health care
Flexible Language Requirement:
* French not required
Schedule:
* 8 hour shift
* Weekends as needed



Experience:
* Customer service: 1 year (preferred)


Work Location: In person",,,,
cook,"Posted on February 13, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$20.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,Education: Secondary (high) school graduation certificate. Experience: 1 year to less than 2 years.,English,Secondary (high) school graduation certificate,1 year to less than 2 years,
supervisor - retail,"Posted on February 16, 2024",Government of Canada / Gouvernement du Canada,"Hay River, NT",$22.50 to $25.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Work setting: Bottle depot. Tasks: Supervise staff (apprentices, stages hands, design team, etc.). Assign sales workers to duties. Hire and train or arrange for training of staff. Authorize payments by cheque. Establish work schedules. Prepare reports on sales volumes, merchandising and personnel matters. Organize and maintain inventory. Resolve problems that arise, such as customer complaints and supply shortages. Supervise and co-ordinate activities of workers. Manage cash. Supervision: 3-4 people. 5-10 people. Computer and technology knowledge: MS Outlook. Security and safety: Bondable. Transportation/travel information: Own transportation. Valid driver's licence. Work conditions and physical capabilities: Fast-paced environment. Handling heavy loads. Attention to detail. Combination of sitting, standing, walking. Walking. Standing for extended periods. Bending, crouching, kneeling. Personal suitability: Accurate. Reliability. Team player. Dependability. Ability to multitask. Screening questions: Are you currently legally able to work in Canada?. Are you willing to relocate for this position?. Do you currently reside in proximity to the advertised location?. Do you have previous experience in this field of employment?. Experience: 1 year to less than 2 years. Health benefits: Dental plan. Health care plan.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Assign sales workers to duties, Hire and train or arrange for training of staff, Authorize payments by cheque, Establish work schedules, Prepare reports on sales volumes, merchandising and personnel matters, Organize and maintain inventory, Resolve issues that may arise, including customer requests, complaints and supply shortages, Supervise and co-ordinate activities of workers, Manage cash, 3-4 people, 5-10 people"
tour guide,"Posted on February 15, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$20.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,Education: Secondary (high) school graduation certificate. Work site environment: Outdoors. Tasks: Co-ordinate recreation activities. Describe points of interest. Work conditions and physical capabilities: Attention to detail. Personal suitability: Dependability. Efficient interpersonal skills. Excellent oral communication. Organized. Reliability. Team player. Screening questions: Are you available for the advertised start date?. Are you currently legally able to work in Canada?. Experience: 1 to less than 7 months. Financial benefits: Bonus.,English,Secondary (high) school graduation certificate,1 to less than 7 months,"Co-ordinate recreation activities, Describe points of interest, answer questions and supply information"
"French as a second language teacher (except elementary, high school or university)","Posted on March 11, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT","$95,784 to $95,785YEAR annually YEAR",Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,
food service counter attendant,"Posted on February 22, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$17.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: No degree, certificate or diploma. Tasks: Package take-out food. Portion and wrap foods. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Experience: 1 to less than 7 months. Health benefits: Dental plan. Disability benefits. Health care plan. Paramedical services coverage. Vision care benefits.",English,"No degree, certificate or diploma",1 to less than 7 months,"Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders"
retail store supervisor,"Posted on January 25, 2024",Government of Canada / Gouvernement du Canada,"Hay River, NT",$22.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Supervise staff (apprentices, stages hands, design team, etc.). Hire and train or arrange for training of staff. Order merchandise. Authorize return of merchandise. Sell merchandise. Prepare reports on sales volumes, merchandising and personnel matters. Resolve issues that may arise, including customer requests, complaints and supply shortages. Organize and maintain inventory. Supervise and co-ordinate activities of workers. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Hire and train or arrange for training of staff, Order merchandise, Authorize return of merchandise, Sell merchandise, Prepare reports on sales volumes, merchandising and personnel matters, Resolve issues that may arise, including customer requests, complaints and supply shortages, Organize and maintain inventory, Supervise and co-ordinate activities of workers"
dietary aide,"Posted on December 18, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.75HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,4 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Carrying and replace linen. Clean and sanitize items such as dishwasher mats, carts and waste disposal units. Clear and clean tables, trays and chairs. Operate dishwashers to wash dishes, glassware and flatware. Sanitize and wash dishes and other items by hand. Keep records of the quantities of food used. Prepare, heat and finish simple food items. Stock refrigerators and salad bars. Take customers' orders. Experience: Experience an asset. Health benefits: Dental plan. Disability benefits. Health care plan. Vision care benefits. Financial benefits: Life insurance.",English,Secondary (high) school graduation certificate,Experience an asset,"Carrying and replace linen, Clean and sanitize items such as dishwasher mats, carts and waste disposal units, Clear and clean tables, trays and chairs, Operate dishwashers to wash dishes, glassware and flatware, Sanitize and wash dishes and other items by hand, Keep records of the quantities of food used, Prepare, heat and finish simple food items, Stock refrigerators and salad bars, Take customers' orders"
