Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
Jr. 1-Bdm. for Rent at Junction Factory Dundas W./Runnymede Rd.,2395,"3385 Dundas Street West, Toronto, ON, M6S 0A7",2024-03-12 21:36:43,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Internet,0,1 Year,,Yes,439,No,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer","Gym, Bicycle Parking, Elevator in Building","Under New Management! Realstar welcomes you to Junction Factory offering boutique rental living in one of the coolest neighbourhoods of Toronto's west side, The Junction. Bordered by the northern end of High Park and the eastern arm of Junction Triangle, this eclectic neighborhood welcomes urban professionals and young families alike. The familiar vibe of The Junction makes you instantly feel like you are home. Enjoy the many property amenities such as smoke-free living, fitness facility with yoga and spin studio, social room, resident business centre, theatre with billiards, outdoor patio with BBQ and lounge area, bike storage, pet spa, garage parking with EV stations, visitor parking and Communauto car rental along with a helpful on-site management team to service your needs. This vibrant neighbourhood will fulfill your every need.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/jr-1-bdm-for-rent-at-junction-factory-dundas-w-runnymede-rd/1683186329
A private room in a 2 bedroom condo apartment,1300,"Bayview Ave, North York, ON, M2K2J7",2024-03-12 21:30:07,Condo,2,1,,Not Included,0,Month-to-month,"May 1, 2024",No,3,Yes,No,Not Included,No,,,"A private room available for rent in a two-bedroom condo apartment in North york (Bayview and Finch intersection).
Move in date May 1st
10 minutes bus ride to Finch subway station
15 minutes from SENECA College.
1 bus to STC (Scarborough town center)
Very Close to the busstop
Walking distance to Bayview mall
No frill 7mins bus ride
It’s a walking distance to a major intersection which makes it easy for you to get an express bus",2 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/a-private-room-in-a-2-bedroom-condo-apartment/1688038686
Upscale Large 1 Bedroom Suite Yonge and St Clair-Air Conditioned,2647,"60 Pleasant Blvd., Toronto, ON, M4T 1K1",2024-03-12 21:16:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"March 1, 2024",Yes,758,No,Yes,Balcony,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, Bicycle Parking, Storage Space, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-large-1-bedroom-suite-yonge-and-st-clair-air-conditioned/1665241670
jr 1 bdrm - Fifty on the Park,2200,"50 Portland St, Toronto, ON, M5V 2M7",2024-03-12 21:11:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"April 13, 2024",Yes,Not Available,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","1 bdrm, bath renting for $2200- 480 sq ftall black kitchen, ensuite laundrylaminate floors and window coveringsRent covers heat and water; hydro and internet billed separatelyParking available at an additional $170 per month, lockers $50 per month, if required",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/jr-1-bdrm-fifty-on-the-park/1683353254
"1 bdrm + den, * 1 month free*",2850,"50 Portland St, Toronto, ON, M5V 2M7",2024-03-12 21:11:44,Apartment,1 + Den,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,795,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, 24 Hour Security, Bicycle Parking, Storage Space","1 month free rent on 2nd month of a 12 month termRenovated 1 bdrm and den 795 sq ft renting for $28503 stainless appliances, white cabinets, grey quartz countersgrey laminate floors, window coverings",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdrm-den-1-month-free/1681656139
1 bdrm -King west,2455,"50 Portland St, Toronto, ON, M5V 2M7",2024-03-12 21:11:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,"April 13, 2024",Yes,Not Available,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Mid April occupancy Standard 1 bdrm renting for $2455- 598 sq ft corner suite with east and south viewfull black kitchen with granite counter tops3 appliances, and ensuite laundrylaminate floorswindow coveringsRent covers heat and water; hydro and internet billed separatelyParking available at an additional $170 per month, lockers $50 per month, if required",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdrm-king-west/1683989353
1 bdrm +den * 1 month free,2905,"50 Portland St, Toronto, ON, M5V 2M7",2024-03-12 21:11:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,726,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","1 month free rent on 2nd month of a 12 month term1 bdrm and den + dining room, renting for $2905- 726 sq ftBlack cabinets and granite counter topsStainless appliances, ensuite laundrylaminate floors and window coveringsRent covers heat and water; hydro and internet billed separatelyParking available at an additional $170 per month, lockers $50 per month, if required",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdrm-den-1-month-free/1665475765
BATHURST&FINCH-MALE ONLY-MONTH TO MONTH RENTAL-TTC SUBWAY,1150,"North York, ON M2R",2024-03-12 21:07:58,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"March 12, 2024",No,350,Yes,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","Welcome,",6 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bathurst-finch-male-only-month-to-month-rental-ttc-subway/1688036557
Beautiful Furnished Studio in the Core of Downtown Toronto,2995,"1101 Bay Street, Toronto, ON, M5S 2W8",2024-03-12 21:01:46,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,303,Yes,Yes,Not Included,Outdoors only,Laundry (In Building),"Gym, Pool, Bicycle Parking, Elevator in Building",Live in the Heart of Downtown Toronto at Bay & Bloor!,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-furnished-studio-in-the-core-of-downtown-toronto/1505825513
1 Bedroom Apartment Near Bay and Bloor,2695,"1101 Bay Street, Toronto, ON, M5S 2W8",2024-03-12 21:01:46,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,535,No,Yes,Not Included,No,Laundry (In Building),"Gym, Pool, Bicycle Parking, Elevator in Building",Live in the Heart of Downtown Toronto at Bay & Bloor!,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-near-bay-and-bloor/1652656996
Spacious 2 Bedroom Apartment near Bay and Bloor,3645,"1101 Bay Street, Toronto, ON, M5S 2W8",2024-03-12 21:01:45,Apartment,2,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,Outdoors only,,,Live in the Heart of Downtown Toronto at Bay & Bloor!,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-2-bedroom-apartment-near-bay-and-bloor/1651944034
Prime Downtown Location! Bachelor Apartment near Bay and Bloor,2395,"1101 Bay Street, Toronto, ON, M5S 2W8",2024-03-12 21:01:44,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,No,423,No,Yes,Not Included,Outdoors only,Laundry (In Building),"Gym, Pool, Bicycle Parking, Elevator in Building","Live in the Heart of Downtown Toronto at Bay & Bloor! 1101 Bay has a selection of Bachelor, 1 Bedroom and 2 Bedroom apartments for rent. Rentals Available Now!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/prime-downtown-location-bachelor-apartment-near-bay-and-bloor/1685406898
Condo/ Apartment rentals from $1800,1800,"Toronto, ON M5V 0J9",2024-03-12 21:00:34,Condo,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,1,1 Year,"February 14, 2024",Limited,800,No,Yes,YardBalcony,Outdoors only,"Laundry (In Unit), Laundry (In Building), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building",For more information GO TO --->,749 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-apartment-rentals-from-1800/1685300643
Davisville Village Apartments - 2 Bdrm available at 111 Davisvil,2975,"111 Davisville Avenue, Toronto, ON, M4S 2Y9",2024-03-12 20:57:45,Apartment,2,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,No,,,Visit our Website: https://www.rpmsi.ca/property/davisville-village-apartments-111-davisville/,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/davisville-village-apartments-2-bdrm-available-at-111-davisvil/1684053324
Davisville Village Apartments - 1 Bdrm available at 111 Davisvil,2200,"111 Davisville Avenue, Toronto, ON, M4S 2Y9",2024-03-12 20:57:45,Apartment,1,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,No,,,Visit our Website: https://www.rpmsi.ca/property/davisville-village-apartments-111-davisville/,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/davisville-village-apartments-1-bdrm-available-at-111-davisvil/1681242987
Davisville Village Apartments - Bachelor available at 111 Davisv,1790,"111 Davisville Avenue, Toronto, ON, M4S 2Y9",2024-03-12 20:57:44,Apartment,Bachelor/Studio,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,No,,,Visit our Website: https://www.rpmsi.ca/property/davisville-village-apartments-111-davisville/,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/davisville-village-apartments-bachelor-available-at-111-davisv/1669327539
One bedroom apartment Yonge Sheppard subway,2000,"48 Anndale Drive, North York, ON",2024-03-12 20:52:53,Basement,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"April 1, 2024",No,730,No,Yes,Yard,Outdoors only,Laundry (In Building),,Walk to Yonge Sheppard subway. All utilities and internet and one parking space is included. Very clean quiet and modern fully renovated house. Text me for more info at 416-949-3346 Fred.,7 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-apartment-yonge-sheppard-subway/1688034934
BRIGHT &  BEAUTIFUL 3+1  BEDROOM HOME BACKING RAVINE  - ETOBICOK,2600,"Alicewood Court, Etobicoke, ON",2024-03-12 20:51:39,Duplex/Triplex,3 + Den,1,,Not Included,2,1 Year,"April 1, 2024",Limited,"1,500",No,Yes,Yard,Outdoors only,Laundry (In Unit),,"Newly renovated Main floor walk-out apartment, close to Humber college, all TTC routes, but on a quiet and private cul-de-sac. Fully furnished common area, with a walkout beautiful private backyard that is exclusively yours and a gorgeous custom stone fireplace. ** with private path to Humber River from backyard**. Just spent over 20k on brand new, top of the line, kitchen and washroom. One of a kind, high-quality residence with everything included in the rental price except utilities (internet, parking, shared laundry accommodations). Owner is a quiet working professional who requests the same privacy and respect that he will give you. Do not hesitate to contact me at any time with questions or to see the place. (Preferably looking for a group of 3+ or small family long term)
Please call Ria as home is available ASAP and will not last long (647-463-7217)",12 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-beautiful-3-1-bedroom-home-backing-ravine-etobicok/1688034846
"Room for Rent for 8 Linville Rd, Scarborough.",450,"Scarborough, ON M1R 2N9",2024-03-12 20:24:25,Basement,4,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"May 1, 2024",No,"1,500",Yes,Yes,Yard,No,Laundry (In Building),,"A spacious newly-renovated basement apartment is available located a walking distance from a TTC bus stop and surrounded by shopping centres, schools, and medical clinics.
The unit features 4 spacious bedrooms, a well-designed modern washroom, in-unit laundry, a newly-renovated kitchen, and ample storage spaces. Close to University of Toronto and Centennial College. Bus stop is at Bremerton & Linville Rd 2 minutes’ walk. Only one shared room will be available from May. 1st
Students are welcome.
The rent is set at $450 per room + 20% utilities.
Call (289)-716-0312 for more information.",18 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/room-for-rent-for-8-linville-rd-scarborough/1688032503
Gorgeous 1 bedroom apt steps to keelesdale subway station,1800,"Yore Rd, Toronto, M6M 1W6",2024-03-12 20:21:02,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Internet,1,1 Year,"April 1, 2024",No,400,No,Yes,Yard,No,"Laundry (In Building), Fridge / Freezer","24 Hour Security, Bicycle Parking, Storage Space","Located in the Keelesdale neighbourhood, this is a boutique, 6 unit Toronto apartment building. Ideal for one or two professional working couple. Apts include two separate entrances front and back. Steps to the NEW Keelesdale subway station, minutes to Yorkdale Shopping mall, cafes, shops, restaurants, and easy access to the downtown core. New and reimagined design elements assure warm and welcoming spaces, maintained to the highest standard. Suite offerings at this location include 1 bedroom units. Apartments are fully renovated with careful attention to quality and detail. All units are equipped with a full range of high-end appliances and air conditioning, Complemented by superior fixtures and finishes.
Community Within close walking distance, you will conveniently find grocery stores, several bakeries, cafes, restaurants, and medical centres. This building is located on a quiet street, and has the convenience of Keelesdale Subway Station, within 2 minutes walking distance, as well as 24 hour busses running along Eglinton Avenue. There is also access to all major highways. If you are searching for parks, the Keelesdale Parks are just to the west where you can stroll along Black Creek and enjoy nature in the city.
*Available April 1st
*Apt is ideal for 1 or 2 working professionals
*Credit check and references a must
*No pets, No smoking
*Includes high speed internet
1 Parking spot
Heat and Water
*$1800/month plus Hydro
For further inquiries contact 4168764956 I don't respond to texts so kindly call the number",7 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/gorgeous-1-bedroom-apt-steps-to-keelesdale-subway-station/1688032229
Beutiful 3 bedroom MAIN FLOOR of house  Dufferin and Lawrence,3600,"Playfair Ave, Toronto, M6B 2P7",2024-03-12 20:20:49,Apartment,1,1,,Not Included,2,1 Year,"April 1, 2024",No,"1,500",No,Yes,YardBalcony,No,"Laundry (In Building), Fridge / Freezer","Bicycle Parking, Storage Space","This Newly renovated gorgeous Main Floor 3 bedroom home is situated in the Dufferin and Lawrence area, steps to Lawrence west subway station, schools, Yorkdale mall and all major highways and grocery stores.
*Available April 1st
*Suitable for family or mature students
*$3800 includes Heat Water Hydro and 2 parking spots.
For further details please call 4168764956",5 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beutiful-3-bedroom-main-floor-of-house-dufferin-and-lawrence/1688032210
Studio with Den / Bedroom All Inclusive in Bloor West Village,1975,"Maher Ave, Toronto, ON, M6P1R6",2024-03-12 20:20:21,Apartment,1,1,,Not Included,0,1 Year,"April 15, 2024",No,350,No,Yes,Not Included,Outdoors only,,,"Studio / One Bedroom Apartment in Bloor West Village
Suit Single Working Professional
All Inclusive
Walk-out to 10'x10' Deck
Central Air Conditioner
Utilities (Water, Heat, Hydro, Roger's Ignite Tv, Unlimited Internet) All Included
Close to Park and Shopping
Bus at the Door
Smoking Outside
No Pets
Available April 15th.",6 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-with-den-bedroom-all-inclusive-in-bloor-west-village/1688032173
"Chatsworth Apartments - 1 Bdrm available at 2928 Yonge Street, T",2295,"2928 Yonge Street, Toronto, ON, M4R 2K2",2024-03-12 20:19:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,680,No,No,Not Included,No,"Laundry (In Building), Fridge / Freezer",Elevator in Building,1 Month Free Rent,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/chatsworth-apartments-1-bdrm-available-at-2928-yonge-street-t/1663969893
2 Bedroom 2 Bath for rent in Etobicoke | 1 Month FREE Rent,3099,"5249 Dundas Street West, Etobicoke, ON, M9B 1A5",2024-03-12 20:17:55,Apartment,2,2,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, Elevator in Building","Station Place is a prestige rental property located in Etobicoke, minutes away from Downtown Toronto. This building offers premium features such as white quartz countertops and stainless-steel appliances. Unbeatable amenities such as Concierge, Kids Craft Room, Dog Run/Dog Wash Station, Pool and many more! The suites offered at the apartment building are Studio, 1 & 2 bedroom, also 1 bedroom + den, & 2 bedroom + den. Station Place is conveniently located close to major highways, and walking distance to the TTC and GO Station. Let Station Place be your next destination stop for luxury living!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-2-bath-for-rent-in-etobicoke-1-month-free-rent/1652042901
1 Bedroom + Den for rent in Etobicoke | 1 Month FREE Rent!,2499,"5249 Dundas Street West, Etobicoke, ON, M9B 1A5",2024-03-12 20:17:48,Apartment,1 + Den,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool","Station Place is a prestige rental property located in Etobicoke, minutes away from Downtown Toronto. This building offers premium features such as white quartz countertops and stainless-steel appliances. Unbeatable amenities such as Concierge, Kids Craft Room, Dog Run/Dog Wash Station, Pool and many more! The suites offered at the apartment building are Studio, 1 & 2 bedroom, also 1 bedroom + den, & 2 bedroom + den. Station Place is conveniently located close to major highways, and walking distance to the TTC and GO Station. Let Station Place be your next destination stop for luxury living!PROMOTION: Receive 1 month FREE rent !*Some conditions apply, please inquire for more details.*",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-den-for-rent-in-etobicoke-1-month-free-rent/1648336960
1 Bedroom Available near Eglinton Square shopping centre!,2325,"4 & 8 Rannock Street • 880 Pharmacy Avenue, Scarborough, ON, M1L 2N8",2024-03-12 20:17:43,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Rannock and Pharmacy apartments are located near the Victoria Park Avenue and Eglinton Avenue East intersection. 4 and 8 Rannock and 880 Pharmacy offers both 1 bedroom apartment and 2 bedroom apartment options for rent in a convenient Scarborough location. Rannock and Pharmacy Apartments provide easy access to the TTC, DVP, and Highway 401. The community is only a few minutes away from Eglinton Square shopping centre and other convenient shops.Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!Suite offers:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-near-eglinton-square-shopping-centre/1680546255
