Title,Price,Address,Posting Date,Building Type,Bedrooms,Bathrooms,Utilities Included,Wi-Fi and More,Description,Visit Counter,User Info,url
short term house rental,,"North York, ON M2N 7G2","March 10, 2024 10:46 PM",,,,,,"House on Yonge Street with no transportation problems. There is a private bathroom and WC in the room. Those who want a 2-month rental, please contact us.",3 visits,KKijiji User,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/short-term-house-rental/1687859813
Private basement room for rent near High Park(female only),,"Toronto, ON M6P 2T4","March 10, 2024 10:45 PM",,,,,,"Address: 68 Edna Avenue, Toronto",,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-basement-room-for-rent-near-high-park-female-only/1687671989
FINCH&BATHURST-PRIME LOCATION-MONTH TO MONTH RENTAL-TTC SUBWAY,"$1,150All Utilities Included","North York, ON M2R","March 10, 2024 10:45 PM",Apartment,Bachelor/Studio,1,"Hydro, Heat, Water",Internet,"Welcome,",2 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/finch-bathurst-prime-location-month-to-month-rental-ttc-subway/1687859736
FULLY Furnished 1 Bed 1 Bath Apartment Sublease,,"Spadina Avenue, Toronto, ON","March 10, 2024 10:45 PM",,,,,,"Hello! I am subleasing my FULLY FURNISHED 7th-floor unit for the summer, from May 8th to August 8th (2024), extendable to August 13th with adjusted payments for the extension. I am willing to cover the rent increase that is set to be in July, so your rental cost will remain consistent throughout the lease. I am seeking tenants without pets who value and maintain the cleanliness of their environment and do not wear outdoor shoes indoors.",5 visits,KKijiji User,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/fully-furnished-1-bed-1-bath-apartment-sublease/1687859709
Room for rent,,"Kennedy Rd, Scarborough, ON, M1R2W6","March 10, 2024 10:43 PM",,,,,,"Large room available for rent near Kennedy subway station.
Kitchenette only.
Shared bathroom.
Wifi high speed internet included.
Basic cable available.
Parking available.
Near shopping centre.
Requirements:
First and last months rent.
Picture ID.
Emergency contact.
One reference required
No credit check.
Serious inquiries only please call Martina 4377707335",5 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1687859604
Room by the Lake  - Available Immediately,,"Etobicoke, ON M8Y 1J4","March 10, 2024 10:40 PM",,,,,,"Text me on whatsapp @ 416 795 5754
I will only respond there. Message me with answers to these questions:
Do u smoke or vape?
Are u good with pets?
Free parking 5 min walk
You need first and last as a deposit
How many people?
Long term or short term?
What do you do for work?
I have a basement room in a house by Humber Lakeshore for rent. Utilities are included.",2 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-by-the-lake-available-immediately/1687859316
FURNISHED ROOM + PVT BATHRM IN DNTN CONDO WITH GREAT VIEW MAR 10,,"Toronto, ON M5A 4S7","March 10, 2024 10:40 PM",,,,,,"A furnished room with a private bathroom is available from Mar. 10 in a 2-bedroom, 2-bathroom downtown condo with a great downtown view.",3 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-pvt-bathrm-in-dntn-condo-with-great-view-mar-10/1687859271
Private room for rent near Morningside and finch,,"9 Salamander St, Toronto, M1X 1Y9","March 10, 2024 10:38 PM",,,,,,Private room for rent for telugu or hindi speaking only,7 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-room-for-rent-near-morningside-and-finch/1687859142
Condo for rent near U of T Kensington College Spadina,"$1,700All Utilities Included","Toronto, ON M5E 0A9","March 10, 2024 10:38 PM",Basement,Bachelor/Studio,1,"Hydro, Heat, Water",Not Included,"Fully Renovated Large Bachelor Apartment basement suite! New Flooring Newer Kitchen Open Concept With Living Room High Ceilings! Close To All Amenities Walking Distance From Uoft!
Stove, Fridge.",3 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-for-rent-near-u-of-t-kensington-college-spadina/1687859101
1 BEDROOM FOR RENT WITH PRIVATE BATHROOM IN 2 BEDROOMS CONDO,,"North York, ON M2N","March 10, 2024 10:37 PM",,,,,,"Fully furnished room.
Utilities included
Steps to walk subway station.
Only female please",4 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/1-bedroom-for-rent-with-private-bathroom-in-2-bedrooms-condo/1687859084
"Tower Hill East - 2 Bdrm available at 330 Spadina Road, Toronto","$4,130Some Utilities Included","330 Spadina Road, Toronto, ON, M5R 2V9","March 10, 2024 10:37 PM",Apartment,2,1,"Hydro, Heat, Water",Not Included,1 Month Free Rent,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/tower-hill-east-2-bdrm-available-at-330-spadina-road-toronto/1676802942
"Tower Hill East - 1 Bdrm available at 330 Spadina Road, Toronto","$2,905Some Utilities Included","330 Spadina Road, Toronto, ON, M5R 2V9","March 10, 2024 10:37 PM",Apartment,1,1,"Hydro, Heat, Water",Not Included,1 Month Free Rent,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/tower-hill-east-1-bdrm-available-at-330-spadina-road-toronto/1663969854
Private Room for Short term rental,,"Downsview Park Blvd, Toronto, ON M3K","March 10, 2024 10:36 PM",,,,,,"Private room for short term rental at Downsview Park Blvd, North York
Available from Mar 10th
$80/night for 1 person
Room is furnished and suitable for single or couple. Sharing washroom with another private room on the same floor
No kitchen but a microwave and refrigerator are provided in the room.
No cooking, no smoking, no pets, no party are allowed.
Everything is included (hydro, water, laundry, internet)
Pm me if you’re interested",2 visits,KKijiji User,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/private-room-for-short-term-rental/1687858958
Perfect Little office!  500sqft located in very busy Plaza in TO,,"310 Rustic Road, North York, ON","March 10, 2024 10:35 PM",,,,,,"Rare opportunity to rent in the RUSTIC PLAZA in Toronto. Keele Lawrence Hwy 401 Area, Maple Leaf. Perfect 500sqft office with included Hydro and all other utilities with Air Conditioning for the summer months. High traffic with the Famous Rustic Bakery in the same plaza",2 visits,KKijiji User,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/perfect-little-office-500sqft-located-in-very-busy-plaza-in-to/1687858787
Yonge Eglinton Apartments – Duplex - 2 Bdrm available at 411 Dup,"$3,315Some Utilities Included","411 Duplex Avenue, Toronto, ON, M4R 1V2","March 10, 2024 10:34 PM",Apartment,2,1,"Hydro, Heat, Water",Not Included,No Last Month's Rent Deposit,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge-eglinton-apartments-duplex-2-bdrm-available-at-411-dup/1680104923
Yonge Eglinton Apartments – Duplex - 1 Bdrm available at 411 Dup,"$2,250Some Utilities Included","411 Duplex Avenue, Toronto, ON, M4R 1V2","March 10, 2024 10:34 PM",Apartment,1,1,"Hydro, Heat, Water",Not Included,No Last Month's Rent Deposit,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge-eglinton-apartments-duplex-1-bdrm-available-at-411-dup/1687001341
Yonge Eglinton Apartments – Duplex - Bachelor available at 411 D,"$1,950Some Utilities Included","411 Duplex Avenue, Toronto, ON, M4R 1V2","March 10, 2024 10:34 PM",Apartment,Bachelor/Studio,1,"Hydro, Heat, Water",Not Included,No Last Month's Rent Deposit,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge-eglinton-apartments-duplex-bachelor-available-at-411-d/1681441651
Room for rent,,"Toronto, ON M6H","March 10, 2024 10:33 PM",,,,,,Spacious clean room available recently renovated house very clean very quiet close to all amenities not a rooming house single occupancy only minimum live in one year or more rent 1150 this includes parking for one vehicle utilities are extra please call only 647-717-5090 do not text text messages will not be responded to PS all telemarketers do not call,6 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1687858636
Two Bedroom Apartments for Rent - Bathurst & Steeles,"$2,895Some Utilities Included","300 Antibes Drive, Toronto, ON, M2R 3N8","March 10, 2024 10:31 PM",Apartment,2,1,"Hydro, Heat, Water",Not Included,"Tours available in-person or via Skype, Whatsapp, or Facetime. Book yours today!To view this unit from the comfort of your own home, use the virtual tour link below:https://3d.gryd.com/Show/oNGpEEiYAd2Forest Lane offers spacious apartments for rent in North York. Contact our Rental Consultants today to book your free private tour!",,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/two-bedroom-apartments-for-rent-bathurst-steeles/1578285990
3 Bedroom Apartment for Rent at Bathurst & Steeles,"$3,195No Utilities Included","300 Antibes Drive, Toronto, ON, M2R 3N8","March 10, 2024 10:31 PM",Apartment,3,1.5,,Not Included,"Forest Lane is located at Steeles Avenue West and Bathurst Street in a quiet North York residential community. This condo-quality apartment complex overlooks scenic parklands and is minutes away from schools, playgrounds, supermarkets, and the Humber River Finch Site Hospital & Branson Urgent Care Centre.",,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-apartment-for-rent-at-bathurst-steeles/1652656989
Beautiful large furnished room,,"Northcliffe Blvd, Toronto, M6E 3L3","March 10, 2024 10:26 PM",,,,,,"This charming room is located in a wonderful Victorian style large house and a nice neighbourhood within walking distance to St Clair W and all the amazing shops and restaurants that Little Italy has to offer. There is comfortable eat in kitchen, large windows, ceramic tiles, hard wood floors throughout, newly renovated washroom as well as a large deck for everyone to enjoy. The house is to be shared with other clean and quiet female roommates. Pictures don't give it justice, come by and take a look at it and you won't be disappointed. Safe and friendly neighborhood. All utilities are included as well as Internet and cable. Laundry also available on premises. THIS IS A FEMALE ONLY ACCOMMODATION, First and last month's rent required. Pls msg to schedule an appointment to see it.",5 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/beautiful-large-furnished-room/1687857981
50 Wellesley St E 1+1 bed Condo for rent,"$2,450No Utilities Included","50 Wellesley St E, Toronto, ON M4Y 0C8","March 10, 2024 10:25 PM",Condo,1 + Den,1,,Not Included,"Newer Sun filled 1 bedroom + den Luxury Condo on a high floor with floor to ceiling windows and a walk out to Balcony with Gorgeous Unobstructed City Views! Open concept layout 610 sf
Featuring laminate floors, Quartz Countertops, Stainless steel Appliances, Washer and Dryer.
A + Location, Literally steps to Wellesley Station, Shops, Restaurants, Yorkville. Storage locker included!
Currently vacant Available ASAP
Unfurnished
Amenities include 24hr Concierge, Gym, Pool, Yoga room, Movie Theatre, Guest Suites, Party room, Visitor parking and more...
Tenant pays hydro and water
No smoking please",5 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/50-wellesley-st-e-1-1-bed-condo-for-rent/1687857884
"Huntley Apartments - 1 Bdrm available at 77 Huntley Street, Toro","$2,285No Utilities Included","77 Huntley Street, Toronto, ON, M4Y 2P3","March 10, 2024 10:22 PM",Apartment,1,1,,Not Included,Visit our Website: https://www.rpmsi.ca/property/huntley-apartments-77-huntley/,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/huntley-apartments-1-bdrm-available-at-77-huntley-street-toro/1665804525
"Huntley Apartments - Bachelor available at 77 Huntley Street, To","$1,945No Utilities Included","77 Huntley Street, Toronto, ON, M4Y 2P3","March 10, 2024 10:22 PM",Apartment,Bachelor/Studio,1,,Not Included,Visit our Website: https://www.rpmsi.ca/property/huntley-apartments-77-huntley/,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/huntley-apartments-bachelor-available-at-77-huntley-street-to/1665804443
Condo Locker for Rent,,"25 The Esplanade, Toronto, ON M5E 1W5","March 10, 2024 10:21 PM",,,,,,Locker for RENT located in 25 The Espalande,2 visits,KKijiji User,https://www.kijiji.ca/v-storage-parking/city-of-toronto/condo-locker-for-rent/1687857577
Exclusive Etobicoke - Large Basement apartment for Ren,"$1,950All Utilities Included","Etobicoke, ON M9C 2B6","March 10, 2024 10:20 PM",Basement,1,1,"Hydro, Heat, Water",Not Included,"Apartment located in prime Etobicoke area. Utilities are included. One parking space and sharing laundry. Close to TTC, GO Train Station and easy access to HWYs. Furniture can be provided. 12 month term rent.
Rent preferably for one person.
- 1 bedroom, spacious living room with fire place, 1 bathroom, Kitchen with large fridge.
- Separate entrance to apartment
- 1 parking spot available
- Located in prime Etobicoke area. (West Mall & Burnhamthorpe)
- TRANSIT: 2 min to HWY 427&401, steps to TTC one bus to Kipling Subway, GO station
- PARKS: Sentential Park
- AREA : House is located on a quiet street
- Non-smoking and pet-free apartment.
- Could be furnished per request",6 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/exclusive-etobicoke-large-basement-apartment-for-ren/1687857465
LARGE FURNISHED ROOM,,"59 Bamford Crescent, North York, ON M3N 1T7","March 10, 2024 10:19 PM",,,,,,"READ POST BEFORE MESSAGING.
1 large bedroom. $900 per month.
All male house.
Single occupancy.
Available April 1.
Parking NOT available. Pet free property.
Furnished primary bedroom in a four bedroom smoke free home. All utilities, high-speed internet and laundry included. One shared bathroom. Ideal for York University students; near Jane and Steeles on Bamford Crescent. Home professionally clean twice a month.
First and last month rent is required upon signing the lease. Additionally a $200 security deposit and $25 key deposit are required. Proof of income, credit check and references are required. Alternatively a cosigner will be required. Looking for a 12 month lease term.
*TV not included.",5 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-furnished-room/1687857311
Basement Room For Rent - $800,,"Etobicoke, ON M9W","March 10, 2024 10:18 PM",,,,,,Have a room in a basement available for rent that's $800 a month. Closest major intersection is Kipling Ave and Westhumber Blvd (North Etobicoke within Toronto).,13 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-room-for-rent-800/1687857241
Convenient 2-Bedroom Basement Apartment with Utilities,"$1,700All Utilities Included","Scarborough, ON M1P 4P5","March 10, 2024 10:17 PM",Basement,2,1,"Hydro, Heat, Water",Internet,"This apartment includes 2 bedrooms, a kitchen, and a washroom. All utilities are included, along with complimentary Wi-Fi and washer-dryer facilities. Parking space is available. We are looking for a couple, a small family, two friends, or two students. The rent is $1,700 per month. The main intersection is McCowan/Ellesmere, with bus stops for east-west or north-south routes within a 3-5 minute walk. It is a 2-minute drive to the highway and a 10-minute walk to Scarborough Town Center. Within a 10-minute walk, you will find groceries, restaurants, movie theaters, brand stores, banks, dollar stores, Freshco, a subway station, a GO station, and much more, including a library. Smoking, alcohol, pets, and loud music are not allowed. Please don’t hesitate to ask any questions. Please ONLY text me at 647-467-0670. Thank you.",11 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/convenient-2-bedroom-basement-apartment-with-utilities/1687857173
Roommate needed,,"Scarborough, Toronto, ON M1J 2H9","March 10, 2024 10:16 PM",,,,,,"Roommate needed in master bedroom, located near Markham and Eglinton ave where ttc is at doorstep. All amenities are nearby. Rent is $600 which includes all utilities. Looking for a clean working individual or a student.",14 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/roommate-needed/1687857093
1BDRM Downtown Condo Available April 1st,"$2,300Some Utilities Included","Toronto, ON M4Y","March 10, 2024 10:15 PM",Condo,1,1,"Hydro, Heat, Water",Not Included,"Please contact for questions.
Yonge/Bloor. Amazing, convenient location! Open layout w/large & Bright 1 Bedroom Unit With West Views & Overlooking Pool Area. Amazing Amenities (Pool, Outdoor Area, Gym, Theatre Room, Yoga Room, Party Room) 24Hr Security. Close To Subways ( Yonge Line + Bloor Line, near Shopping & Restaurants and universities.",5 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1bdrm-downtown-condo-available-april-1st/1687856980
Room for rent,,"Toronto, ON M6H","March 10, 2024 10:15 PM",,,,,,Large master bedroom available very clean very quiet recently renovated house single occupancy only minimum live in one year or more close to all amenities rent 1250 this includes parking for one vehicle utilities are extra please call only 647-717-5090 do not tax text messages will not be responded to PS all telemarketers do not call,4 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1687856975
NorthYork @ basement near York University and subway station,,"North York, ON M3H 2R3","March 10, 2024 10:14 PM",,,,,,*Notes: please do not ask if it is available. It is valid until i remove it. Thanks.,,KKijiji User,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/northyork-basement-near-york-university-and-subway-station/1687856885
Wellesley Apartments - 1 Bdrm available at 100 Wellesley Street,"$2,285Some Utilities Included","100 Wellesley Street East, Toronto, ON, M4Y 1H5","March 10, 2024 10:13 PM",Apartment,1,1,"Hydro, Heat, Water",Not Included,No Last Month's Rent Deposit,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-1-bdrm-available-at-100-wellesley-street/1663969694
Wellesley Apartments - Bachelor available at 100 Wellesley Stree,"$1,895Some Utilities Included","100 Wellesley Street East, Toronto, ON, M4Y 1H5","March 10, 2024 10:13 PM",Apartment,Bachelor/Studio,1,"Hydro, Heat, Water",Not Included,No Last Month's Rent Deposit,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-bachelor-available-at-100-wellesley-stree/1670341721
ROOM for rent for UTSC & Centennial College student.,,"Scarborough, ON M1E 5C4","March 10, 2024 10:12 PM",,,,,,ROOM for rent for UTSC & Centennial College student.,4 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-for-utsc-centennial-college-student/1687856776
"New Two-Bedroom Townhome Rentals- Move In Now, Pay Later","$2,975No Utilities Included","15 Brenthall Avenue, North York, ON, M2R 1N1","March 10, 2024 10:03 PM",Apartment,2,1,,Not Included,"Move In Now, Don't Pay Until April 1st",,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-two-bedroom-townhome-rentals-move-in-now-pay-later/1678163687
100 Tyndall Ave - 100 Tyndall Ave Apartment for Rent,"$2,309No Utilities Included","100 Tyndall Ave, Toronto, ON, M6K 2E2","March 5, 2024 3:21 PM",Apartment,1,1,,Not Included,"The apartments at 100 Tyndall Avenue put you at an unbeatable Toronto location,situated just west of Liberty Village.Choose from renovated bachelor, 1 and 2 bedroom apartments, each featuringstainless steel appliances, quartz countertops, custom cabinetry, large living areas,and private balconies with exceptional views. Residents, who require parking, alsoenjoy an assigned underground parking spot, on-site laundry facilities, andprofessional on-site management from friendly, helpful staff.At 100 Tyndall Avenue you're minutes away from some of Toronto's coolest and mostcoveted spots in Liberty Village. Access the Gardiner Expressway or the CNE in lessthan five minutes, or explore the Greater Toronto Area with transit stops less than fiveminutes away on foot. Despite being close to it all, the apartments at 100 TyndallAvenue are situated on a quiet, tree-lined street, offering peace and quiet away fromthe hustle and bustle of the city.Contact us today to make 100 Tyndall Avenue your next Toronto rental home. Located in the center of hip and happening Parkdale, near Liberty Village, your new neighbourhood is packed with excellent shops, bars, boutiques, and trendy restaurants. Our property is located just a short walk from the vibrant communities of King Street West and Queen Street West.The Queen 501 streetcar runs 24 hours a day. Commuting from 100 Tyndall Avenue is easy as we are located just minutes from the Gardiner Expressway and only a 10-minute streetcar ride to the center of downtownBuilding OverivewThe apartments at 100 Tyndall Avenue put you at an unbeatable Toronto location,situated just west of Liberty Village.Choose from renovated bachelor, 1 and 2 bedroom apartments, each featuringstainless steel appliances, quartz countertops, custom cabinetry, large living areas,and private balconies with exceptional views. Residents, who require parking, alsoenjoy an assigned underground parking spot, on-site laundry facilities, andprofessional on-site management from friendly, helpful staff.At 100 Tyndall Avenue you're minutes away from some of Toronto's coolest and mostcoveted spots in Liberty Village. Access the Gardiner Expressway or the CNE in lessthan five minutes, or explore the Greater Toronto Area with transit stops less than fiveminutes away on foot. Despite being close to it all, the apartments at 100 TyndallAvenue are situated on a quiet, tree-lined street, offering peace and quiet away fromthe hustle and bustle of the city.Contact us today to make 100 Tyndall Avenue your next Toronto rental home.",,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/100-tyndall-ave-100-tyndall-ave-apartment-for-rent/1682460535
Private Office Spaces,,"5060 Spectrum Way Mississauga, ON L4W 5N5, Canada, Toronto, ON, L4W 5N5","February 24, 2024 12:50 AM",,,,,,Flash Sale Alert: Unlock Your Dream Office at Unbeatable Prices!,,KKijiji User,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/private-office-spaces/1683364078
Brand New 2-bedroom Rental in North York!  York Mills Rd. & DVP!,"$2,690No Utilities Included","1225 York Road, Toronto, ON, M3A 1Y4","March 4, 2024 12:39 AM",Apartment,2,1,,Not Included,"Realstar's ONE225 York Mills is North Yorks newest apartment rentals in the Parkwoods-Donalda area of Toronto, just south of the 401. This condo-styled property offers 100% smoke-free living; perfectly located at York Mills Road and the Don Valley Parkway. ONE225 York Mills offers stylish one, two, two-plus den, three and three-plus den suites. Enjoy our first-class amenities designed to provide you and your guest with an extraordinary, carefree lifestyle experience. We cannot wait to welcome you home!",,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-2-bedroom-rental-in-north-york-york-mills-rd-dvp/1679403688
2+Den Tridel New Condo at Bloor and Islington,"$3,150No Utilities Included","5 Mabelle Avenue, Etobicoke, ON","March 5, 2024 2:26 AM",Condo,2 + Den,2,,Internet,Tridel 2+Den New Condo at Bloor/ Islington.,31 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-den-tridel-new-condo-at-bloor-and-islington/1687311830
Wellesley Apartments - 2 Bdrm available at 100 Wellesley Street,"$3,475Some Utilities Included","100 Wellesley Street East, Toronto, ON, M4Y 1H5","February 18, 2024 12:35 AM",Apartment,2,1,"Hydro, Heat, Water",Not Included,No Last Month's Rent Deposit,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-2-bdrm-available-at-100-wellesley-street/1682904719
